text	label	language	source
Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.	The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia	en	chung2019
The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.	The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia	en	chung2019
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.	Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.,Islamophobia	en	chung2019
Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.	Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.,Islamophobia	en	chung2019
The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.	Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	In fact, the government deports those criminals back to their countries.,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	In fact, the government deports those criminals back to their countries.,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	In fact, the government deports those criminals back to their countries.,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia	en	chung2019
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.	An entire faith? Really? Can you not see how ignorant this is?,Islamophobia	en	chung2019
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.	An entire faith? Really? Can you not see how ignorant this is?,Islamophobia	en	chung2019
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.	An entire faith? Really? Can you not see how ignorant this is?,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Positive news stories*.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Positive news stories*.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Positive news stories*.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	This is not true. How can you say this about an entire faith?,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	This is not true. How can you say this about an entire faith?,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	This is not true. How can you say this about an entire faith?,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Muslims are also average and decent British citizens? Repatriate?,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Muslims are also average and decent British citizens? Repatriate?,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Muslims are also average and decent British citizens? Repatriate?,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Saying that all Muslims are criminals is just wrong. They also do share British values.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Saying that all Muslims are criminals is just wrong. They also do share British values.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Saying that all Muslims are criminals is just wrong. They also do share British values.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.,Islamophobia	en	chung2019
Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.	Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.,Islamophobia	en	chung2019
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.	Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.,Islamophobia	en	chung2019
Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.	Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.	This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.	This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.	This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.	Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne),Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.	Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne),Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.	Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne),Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.	[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.	[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.	[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.	Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.	Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.	Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.	Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.	Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.	Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.	Source check?,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.	Source check?,Islamophobia	en	chung2019
Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.	Source check?,Islamophobia	en	chung2019
